,index,ModifiedDateTime,FRP
662,9,2021-03-01,0.0
663,9,2021-04-01,0.0
664,9,2021-05-01,0.0
665,9,2021-06-01,0.0
666,9,2021-07-01,0.0
667,9,2021-08-01,0.0
668,9,2021-09-01,0.0
669,9,2021-10-01,0.0
670,9,2021-11-01,0.0
671,9,2021-12-01,0.0
672,10,2015-01-01,0.0
673,10,2015-02-01,0.0
674,10,2015-03-01,0.0
675,10,2015-04-01,0.0
676,10,2015-05-01,0.0
677,10,2015-06-01,0.0
678,10,2015-07-01,0.0
679,10,2015-08-01,0.0
680,10,2015-09-01,0.0
681,10,2015-10-01,0.0
682,10,2015-11-01,0.0
683,10,2015-12-01,0.0
684,10,2016-01-01,0.0
685,10,2016-02-01,0.0
686,10,2016-03-01,0.0
687,10,2016-04-01,0.0
688,10,2016-05-01,0.0
689,10,2016-06-01,0.0
690,10,2016-07-01,0.0
691,10,2016-08-01,0.0
692,10,2016-09-01,0.0
693,10,2016-10-01,0.0
694,10,2016-11-01,0.0
695,10,2016-12-01,0.0
696,10,2017-01-01,0.0
697,10,2017-02-01,0.0
698,10,2017-03-01,0.0
699,10,2017-04-01,0.0
700,10,2017-05-01,0.0
701,10,2017-06-01,0.0
702,10,2017-07-01,0.0
703,10,2017-08-01,0.0
704,10,2017-09-01,60.4
705,10,2017-10-01,0.0
706,10,2017-11-01,0.0
707,10,2017-12-01,0.0
708,10,2018-01-01,0.0
709,10,2018-02-01,12.466666666666669
710,10,2018-03-01,0.0
711,10,2018-04-01,0.0
712,10,2018-05-01,0.0
713,10,2018-06-01,0.0
714,10,2018-07-01,0.0
715,10,2018-08-01,0.0
716,10,2018-09-01,0.0
717,10,2018-10-01,0.0
718,10,2018-11-01,0.0
719,10,2018-12-01,0.0
720,10,2019-01-01,0.0
721,10,2019-02-01,0.0
722,10,2019-03-01,0.0
723,10,2019-04-01,0.0
724,10,2019-05-01,61.9
725,10,2019-06-01,0.0
726,10,2019-07-01,0.0
727,10,2019-08-01,0.0
728,10,2019-09-01,0.0
729,10,2019-10-01,0.0
730,10,2019-11-01,8.8
731,10,2019-12-01,6.2
732,10,2020-01-01,0.0
733,10,2020-02-01,15.9
734,10,2020-03-01,0.0
735,10,2020-04-01,0.0
736,10,2020-05-01,0.0
737,10,2020-06-01,0.0
738,10,2020-07-01,0.0
739,10,2020-08-01,0.0
740,10,2020-09-01,0.0
741,10,2020-10-01,0.0
742,10,2020-11-01,0.0
743,10,2020-12-01,0.0
744,10,2021-01-01,0.0
745,10,2021-02-01,0.0
746,10,2021-03-01,0.0
747,10,2021-04-01,0.0
748,10,2021-05-01,0.0
749,10,2021-06-01,0.0
750,10,2021-07-01,0.0
751,10,2021-08-01,0.0
752,10,2021-09-01,0.0
753,10,2021-10-01,0.0
754,10,2021-11-01,0.0
755,10,2021-12-01,6.24
756,11,2015-01-01,0.0
757,11,2015-02-01,0.0
758,11,2015-03-01,0.0
759,11,2015-04-01,0.0
760,11,2015-05-01,0.0
761,11,2015-06-01,0.0
762,11,2015-07-01,0.0
763,11,2015-08-01,0.0
764,11,2015-09-01,0.0
765,11,2015-10-01,0.0
766,11,2015-11-01,0.0
767,11,2015-12-01,0.0
768,11,2016-01-01,0.0
769,11,2016-02-01,0.0
770,11,2016-03-01,0.0
771,11,2016-04-01,0.0
772,11,2016-05-01,0.0
773,11,2016-06-01,0.0
774,11,2016-07-01,0.0
775,11,2016-08-01,0.0
776,11,2016-09-01,0.0
777,11,2016-10-01,0.0
778,11,2016-11-01,0.0
779,11,2016-12-01,0.0
780,11,2017-01-01,0.0
781,11,2017-02-01,0.0
782,11,2017-03-01,0.0
783,11,2017-04-01,0.0
784,11,2017-05-01,0.0
785,11,2017-06-01,0.0
786,11,2017-07-01,0.0
787,11,2017-08-01,0.0
788,11,2017-09-01,15.0
789,11,2017-10-01,0.0
790,11,2017-11-01,0.0
791,11,2017-12-01,0.0
792,11,2018-01-01,9.7
793,11,2018-02-01,0.0
794,11,2018-03-01,0.0
795,11,2018-04-01,0.0
796,11,2018-05-01,0.0
797,11,2018-06-01,0.0
798,11,2018-07-01,0.0
799,11,2018-08-01,0.0
800,11,2018-09-01,0.0
801,11,2018-10-01,0.0
802,11,2018-11-01,0.0
803,11,2018-12-01,14.3
804,11,2019-01-01,0.0
805,11,2019-02-01,0.0
806,11,2019-03-01,0.0
807,11,2019-04-01,0.0
808,11,2019-05-01,0.0
809,11,2019-06-01,0.0
810,11,2019-07-01,0.0
811,11,2019-08-01,0.0
812,11,2019-09-01,0.0
813,11,2019-10-01,0.0
814,11,2019-11-01,0.0
815,11,2019-12-01,6.8
816,11,2020-01-01,0.0
817,11,2020-02-01,0.0
818,11,2020-03-01,0.0
819,11,2020-04-01,0.0
820,11,2020-05-01,0.0
821,11,2020-06-01,0.0
822,11,2020-07-01,0.0
823,11,2020-08-01,0.0
824,11,2020-09-01,0.0
825,11,2020-10-01,8.3
826,11,2020-11-01,0.0
827,11,2020-12-01,0.0
828,11,2021-01-01,0.0
829,11,2021-02-01,0.0
830,11,2021-03-01,0.0
831,11,2021-04-01,0.0
832,11,2021-05-01,0.0
833,11,2021-06-01,0.0
834,11,2021-07-01,0.0
835,11,2021-08-01,0.0
836,11,2021-09-01,0.0
837,11,2021-10-01,0.0
838,11,2021-11-01,0.0
839,11,2021-12-01,0.0
840,12,2015-01-01,0.0
841,12,2015-02-01,0.0
842,12,2015-03-01,18.5
843,12,2015-04-01,0.0
844,12,2015-05-01,0.0
845,12,2015-06-01,0.0
846,12,2015-07-01,0.0
847,12,2015-08-01,0.0
848,12,2015-09-01,0.0
849,12,2015-10-01,0.0
850,12,2015-11-01,0.0
851,12,2015-12-01,0.0
852,12,2016-01-01,0.0
853,12,2016-02-01,22.125
854,12,2016-03-01,17.5
855,12,2016-04-01,0.0
856,12,2016-05-01,0.0
857,12,2016-06-01,0.0
858,12,2016-07-01,0.0
859,12,2016-08-01,0.0
860,12,2016-09-01,0.0
861,12,2016-10-01,0.0
862,12,2016-11-01,0.0
863,12,2016-12-01,0.0
864,12,2017-01-01,0.0
865,12,2017-02-01,43.7
866,12,2017-03-01,0.0
867,12,2017-04-01,0.0
868,12,2017-05-01,0.0
869,12,2017-06-01,0.0
870,12,2017-07-01,0.0
871,12,2017-08-01,0.0
872,12,2017-09-01,0.0
873,12,2017-10-01,0.0
874,12,2017-11-01,0.0
875,12,2017-12-01,11.7
876,12,2018-01-01,0.0
877,12,2018-02-01,0.0
878,12,2018-03-01,0.0
879,12,2018-04-01,0.0
880,12,2018-05-01,0.0
881,12,2018-06-01,6.9
882,12,2018-07-01,0.0
883,12,2018-08-01,0.0
884,12,2018-09-01,0.0
885,12,2018-10-01,0.0
886,12,2018-11-01,0.0
887,12,2018-12-01,0.0
888,12,2019-01-01,0.0
889,12,2019-02-01,0.0
890,12,2019-03-01,0.0
891,12,2019-04-01,0.0
892,12,2019-05-01,0.0
893,12,2019-06-01,0.0
894,12,2019-07-01,0.0
895,12,2019-08-01,0.0
896,12,2019-09-01,0.0
897,12,2019-10-01,0.0
898,12,2019-11-01,0.0
899,12,2019-12-01,0.0
900,12,2020-01-01,0.0
901,12,2020-02-01,0.0
902,12,2020-03-01,0.0
903,12,2020-04-01,0.0
904,12,2020-05-01,0.0
905,12,2020-06-01,0.0
906,12,2020-07-01,0.0
907,12,2020-08-01,0.0
908,12,2020-09-01,0.0
909,12,2020-10-01,0.0
910,12,2020-11-01,0.0
911,12,2020-12-01,0.0
912,12,2021-01-01,0.0
913,12,2021-02-01,0.0
914,12,2021-03-01,10.866666666666667
915,12,2021-04-01,0.0
916,12,2021-05-01,0.0
917,12,2021-06-01,0.0
918,12,2021-07-01,0.0
919,12,2021-08-01,0.0
920,12,2021-09-01,0.0
921,12,2021-10-01,0.0
922,12,2021-11-01,26.549999999999997
923,12,2021-12-01,0.0
924,15,2015-01-01,0.0
