,Crops 2017,Crops 2018,Crops 2019,Crops 2020,Crops 2021
448,1034384,1048261,1055509,1034980,1031054
449,949202,965831,938482,993737,1002810
450,411767,396979,384057,422444,432000
451,437925,442102,452979,439869,441666
452,1345646,1322329,1285124,1327242,1389367
453,2087622,2203225,2196011,2165688,2194447
454,5,0,0,0,0
455,641566,640097,657161,646490,608719
456,1366482,1390129,1408297,1338951,1330885
457,582197,609076,625894,592635,641614
458,1527148,1572146,1657509,1516691,1586749
459,1492232,1541075,1537569,1458220,1443698
460,4,28,0,0,6
461,37043,28694,23684,11664,18215
462,2185526,2196715,2131911,2098568,2185370
463,509,247,914,113,755
464,2011813,2037199,2114286,2046523,2046961
465,656537,681299,690676,628616,692203
466,1384418,1383669,1418346,1220443,1322321
467,770422,897342,974073,983165,934379
468,1316732,1315063,1323015,1297650,1306367
469,1935399,1900944,1736088,1794103,1819111
470,993281,1006988,1005396,979263,994041
471,1254925,1293988,1217535,1268139,1348452
472,952768,953357,963193,941753,983249
473,1141046,1091465,1068324,1054031,1069086
474,1862495,1950674,1931413,1878015,1924210
475,336507,339955,335079,315171,325743
476,657544,701592,660356,598563,790571
477,593230,665320,675743,397564,717441
478,1476762,1423148,1479526,1504151,1549587
479,1256342,1238434,1369799,1222785,1228164
480,624189,550606,569998,363484,550885
481,623182,628515,632286,617863,613425
482,1537492,1522132,1513467,1493908,1521810
483,611389,634970,646779,646046,649189
484,675211,717537,718697,691468,730489
485,1441754,1449158,1422924,1397820,1405861
486,1788499,1800185,1853252,1759712,1758330
487,2144187,2168558,2188418,2161298,2168818
488,964940,925604,1036366,919232,1060821
489,1435891,1399933,1241483,1320937,1390780
490,2209795,2249987,2177394,2264510,2288569
491,1231334,1330397,1322304,1301971,1352589
492,661159,746501,727184,701376,739967
493,751703,810007,909132,746070,846050
494,1861710,1847554,1775256,1844211,1866158
495,1488798,1478209,1709470,1516094,1729545
496,1014305,1043521,1047708,1040965,1107924
497,2366825,2778293,2720172,2576369,2749230
498,893253,897327,902380,889695,896421
499,2323255,2353406,2359535,2339777,2350346
500,1770216,1833204,1783781,1806872,1792187
501,1356592,1255061,1271002,1230424,1287853
502,747398,778630,793797,782648,795241
503,1755630,1854130,1768670,1849995,1883256
504,1327826,1355658,1348647,1293161,1241555
505,1223974,1254816,1241031,1037048,993940
506,1800527,1809803,1816011,1742571,1726211
507,1488406,1502876,1508462,1451823,1463926
508,1813581,1830686,1833405,1813465,1818780
509,1243835,1266882,1269397,1247769,1243899
510,1157649,1311060,1265854,1266837,1447260
511,2181790,2165959,2202534,2129490,2177204
512,52,125,235,97,169
513,751864,679851,742967,748129,808851
514,1450843,1443608,1443178,1431889,1451230
515,630073,761314,932032,975596,990932
516,1610020,1645721,1570412,1599029,1630458
517,15445,18596,18669,11825,13021
518,2064241,2099897,2066873,2081211,2094037
519,1404504,1393329,1360402,1416469,1431576
520,1498681,1546930,1660837,1273802,1515691
521,1313318,1318870,1316498,1292702,1274634
522,1224584,1226621,1224464,1192876,1192246
523,2874542,2927826,2931883,2932813,2955648
524,2227679,2240173,2177973,2224373,2240701
525,734970,740104,714622,743170,756069
526,802894,993750,991647,869570,922586
527,1360403,1369645,1370791,1333944,1343590
528,315666,312473,339283,336617,380140
529,895641,925714,921086,906453,904503
530,1901561,1964810,1802662,1954721,2073057
531,1285038,1299272,1333851,1349416,1310267
532,619979,695012,740579,713809,768185
533,1758149,1846754,1878524,1782643,1793632
534,1016313,1028011,1042415,1019452,1019609
535,682154,677372,684152,636164,647398
536,874810,859480,872166,779751,797458
537,1245802,1275087,1322362,1272151,1309200
538,1037650,1003972,1032710,1030518,1092903
539,1918028,1996542,1693274,1802595,2072928
540,1251206,1251823,1241592,1232706,1242579
541,1210774,1243967,1154066,1277972,1334827
542,1798016,1571267,1810768,1665179,1774464
543,205212,210463,204397,197216,191659
544,1479070,1516817,1525826,1461197,1460956
545,1192788,1187113,1163065,1158754,1152201
546,1221519,1292009,1294854,1387885,1420337
547,1301230,1303739,1290641,1292584,1289907
548,1425153,1782364,1714332,1671123,1948094
549,1298546,1349677,1412687,1379576,1438319
550,648685,664708,657554,665641,668752
551,1440055,1530534,1504259,1487218,1538657
552,827567,869758,857845,850647,917399
553,2008817,2204186,2250073,2096402,2203554
554,793504,846782,864620,822648,822434
555,1110054,1118032,1105784,1129594,1170269
556,633296,626657,626321,620189,619814
557,1650092,1794168,1737359,1723439,1721631
558,1440083,1483247,1484941,1458369,1463374
559,2075608,2129194,2031206,2006894,2092399
560,1331655,1453362,963447,1328180,1503858
561,2043555,2051069,2031902,1991910,2007574
562,668559,653433,599664,747844,756923
563,2305414,2365760,2432398,2308436,2485431
564,14,182,175,68,261
565,126783,123167,107370,91720,98772
566,535420,535213,531009,509169,537020
567,879827,888423,869559,852209,852758
568,530545,499979,504247,487075,549536
569,973628,989872,975811,978689,978386
570,665987,684988,691443,684469,675890
571,956335,969516,978670,966021,952414
572,952724,968673,948851,961344,948909
573,633326,670867,667131,655725,667322
574,1257833,1269448,1256685,1251773,1272947
575,1496176,1497046,1517591,1501252,1533322
576,716750,767836,798509,771111,741828
577,116733,128971,111244,109047,122866
578,708414,692842,713131,702156,675963
579,1028182,1018961,1003011,980780,1041261
580,880484,879137,898967,905256,939704
581,1108446,1129254,1137609,1092356,1085106
582,1670440,1679022,1676313,1613826,1661736
583,1095620,1334312,1472855,1426164,1492488
584,910543,909678,916725,895737,898116
585,687655,699311,702425,689398,693567
586,609058,581462,612603,617907,618529
587,239109,245527,247084,242441,247101
588,300628,300674,301379,318042,320116
589,832802,877785,903907,909823,872330
590,453161,488000,493215,476468,486953
591,679970,688364,689191,681570,680995
