,MAE,RMSE,R2,Features
133,88.37794574125404,120.06127185547659,-0.9272208635908938,"['SSM_lagged', 'ST_lagged', 'ST_max_lagged']"
134,87.13373774295214,121.60814196002309,-0.9772014266100484,"['ST_lagged', 'ST_max_lagged']"
135,94.18917339714348,127.53135387926184,-1.1745006889227532,['ST_max_lagged']
136,76.60215920007414,109.01162349109597,-0.5888072917004883,"['Trees', 'Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
137,77.71017455953942,110.13294377705432,-0.6216611210498246,"['Built Area', 'POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
138,77.37866730366116,110.04788389918735,-0.6191571467681543,"['POP_mean', 'RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
139,77.96016489684015,110.68567156026884,-0.6379793336381876,"['RWI_mean', 'RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
140,77.61978950802173,110.35867777547415,-0.6283156094885294,"['RWI_max', 'RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
141,78.53985656325594,111.24520141685016,-0.6545815701394275,"['RWI_min', 'RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
142,78.36169608967315,111.23973960227003,-0.6544191038796139,"['RWI_percentile_90', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'ST_max_lagged', 'ST_min_lagged']"
