,MAE,Accuracy,Tree Depth,Number of Trees,Predictor,Features
2311,72.03231230142546,59.69956547958748,5,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2312,72.03633006917258,59.68509401781613,5,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2313,72.03749845338267,59.92107026510714,10,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2314,72.04046355353569,59.874417620678464,9,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2315,72.04577346260818,59.67881622632127,6,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2316,72.05110856244491,59.65988701729591,6,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2317,72.0523493910679,59.684778304604016,9,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2318,72.05318454454338,59.64776054610753,5,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2319,72.05570968583876,59.726714424966595,9,64,NO2,"['Maize', 'Soybean', 'Cotton']"
2320,72.0557341802655,59.71435812012335,6,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2321,72.06314911124132,59.96594006641832,10,128,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2322,72.06539729074508,59.92820962021307,9,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2323,72.0661759245856,59.661369080813145,5,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2324,72.07639253208684,59.72337598064438,7,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2325,72.08095246046084,59.89325827501563,7,64,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2326,72.0870248583376,59.65119963706336,9,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2327,72.09427263086792,59.70991396045204,7,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2328,72.09641805061271,59.68668275232228,6,96,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2329,72.10717624558389,59.7488226771207,10,128,NO2,"['Maize', 'Soybean', 'Cotton']"
2330,72.10794123663085,59.66057422413267,6,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2331,72.11475455087987,59.94433885331241,10,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
2332,72.11907767377029,59.871644872053736,10,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
2333,72.12144028817596,59.68149342851468,7,64,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
2334,72.12200891551863,59.68023693703202,10,128,NO2,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
2335,72.13207662719455,59.88661533698112,8,96,NO2,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
