Date,place,fireCount
2018-06-01,Bhupalpalle,1.0
2018-06-02,Bhupalpalle,0.0
2018-06-03,Bhupalpalle,0.0
2018-06-04,Bhupalpalle,0.0
2018-06-05,Bhupalpalle,0.0
2018-06-06,Bhupalpalle,5.0
2018-06-07,Bhupalpalle,0.0
2018-06-08,Bhupalpalle,0.0
2018-06-09,Bhupalpalle,0.0
2018-06-10,Bhupalpalle,0.0
2018-06-11,Bhupalpalle,0.0
2018-06-12,Bhupalpalle,0.0
2018-06-13,Bhupalpalle,0.0
2018-06-14,Bhupalpalle,0.0
2018-06-15,Bhupalpalle,0.0
2018-06-16,Bhupalpalle,1.0
2018-06-17,Bhupalpalle,1.0
2018-06-18,Bhupalpalle,1.0
2018-06-19,Bhupalpalle,0.0
2018-06-20,Bhupalpalle,0.0
2018-06-21,Bhupalpalle,0.0
2018-06-22,Bhupalpalle,0.0
2018-06-23,Bhupalpalle,0.0
2018-06-24,Bhupalpalle,0.0
2018-06-25,Bhupalpalle,0.0
2018-06-26,Bhupalpalle,0.0
2018-06-27,Bhupalpalle,0.0
2018-06-28,Bhupalpalle,0.0
2018-06-29,Bhupalpalle,0.0
2018-06-30,Bhupalpalle,0.0
2018-07-01,Bhupalpalle,0.0
2018-07-02,Bhupalpalle,0.0
2018-07-03,Bhupalpalle,0.0
2018-07-04,Bhupalpalle,0.0
2018-07-05,Bhupalpalle,0.0
2018-07-06,Bhupalpalle,0.0
2018-07-07,Bhupalpalle,0.0
2018-07-08,Bhupalpalle,0.0
2018-07-09,Bhupalpalle,0.0
2018-07-10,Bhupalpalle,0.0
2018-07-11,Bhupalpalle,0.0
2018-07-12,Bhupalpalle,0.0
2018-07-13,Bhupalpalle,0.0
2018-07-14,Bhupalpalle,0.0
2018-07-15,Bhupalpalle,0.0
2018-07-16,Bhupalpalle,0.0
2018-07-17,Bhupalpalle,0.0
2018-07-18,Bhupalpalle,0.0
2018-07-19,Bhupalpalle,0.0
2018-07-20,Bhupalpalle,0.0
2018-07-21,Bhupalpalle,0.0
2018-07-22,Bhupalpalle,0.0
2018-07-23,Bhupalpalle,0.0
2018-07-24,Bhupalpalle,0.0
2018-07-25,Bhupalpalle,0.0
2018-07-26,Bhupalpalle,0.0
2018-07-27,Bhupalpalle,0.0
2018-07-28,Bhupalpalle,0.0
2018-07-29,Bhupalpalle,0.0
2018-07-30,Bhupalpalle,0.0
2018-07-31,Bhupalpalle,0.0
2018-08-01,Bhupalpalle,0.0
2018-08-02,Bhupalpalle,0.0
2018-08-03,Bhupalpalle,0.0
2018-08-04,Bhupalpalle,0.0
2018-08-05,Bhupalpalle,0.0
2018-08-06,Bhupalpalle,0.0
2018-08-07,Bhupalpalle,0.0
2018-08-08,Bhupalpalle,0.0
2018-08-09,Bhupalpalle,0.0
2018-08-10,Bhupalpalle,0.0
2018-08-11,Bhupalpalle,0.0
2018-08-12,Bhupalpalle,0.0
2018-08-13,Bhupalpalle,0.0
2018-08-14,Bhupalpalle,0.0
2018-08-15,Bhupalpalle,0.0
2018-08-16,Bhupalpalle,0.0
2018-08-17,Bhupalpalle,0.0
2018-08-18,Bhupalpalle,0.0
2018-08-19,Bhupalpalle,0.0
2018-08-20,Bhupalpalle,0.0
2018-08-21,Bhupalpalle,0.0
2018-08-22,Bhupalpalle,0.0
2018-08-23,Bhupalpalle,0.0
2018-08-24,Bhupalpalle,0.0
2018-08-25,Bhupalpalle,0.0
2018-08-26,Bhupalpalle,0.0
2018-08-27,Bhupalpalle,0.0
2018-08-28,Bhupalpalle,0.0
2018-08-29,Bhupalpalle,0.0
2018-08-30,Bhupalpalle,0.0
2018-08-31,Bhupalpalle,0.0
2018-09-01,Bhupalpalle,0.0
2018-09-02,Bhupalpalle,0.0
2018-09-03,Bhupalpalle,0.0
2018-09-04,Bhupalpalle,0.0
2018-09-05,Bhupalpalle,0.0
2018-09-06,Bhupalpalle,0.0
2018-09-07,Bhupalpalle,0.0
2018-09-08,Bhupalpalle,0.0
2018-09-09,Bhupalpalle,0.0
2018-09-10,Bhupalpalle,0.0
2018-09-11,Bhupalpalle,0.0
2018-09-12,Bhupalpalle,0.0
2018-09-13,Bhupalpalle,0.0
2018-09-14,Bhupalpalle,0.0
2018-09-15,Bhupalpalle,0.0
2018-09-16,Bhupalpalle,0.0
2018-09-17,Bhupalpalle,0.0
2018-09-18,Bhupalpalle,0.0
2018-09-19,Bhupalpalle,0.0
2018-09-20,Bhupalpalle,0.0
2018-09-21,Bhupalpalle,0.0
2018-09-22,Bhupalpalle,0.0
2018-09-23,Bhupalpalle,0.0
2018-09-24,Bhupalpalle,0.0
2018-09-25,Bhupalpalle,0.0
2018-09-26,Bhupalpalle,0.0
2018-09-27,Bhupalpalle,0.0
2018-09-28,Bhupalpalle,0.0
2018-09-29,Bhupalpalle,0.0
2018-09-30,Bhupalpalle,0.0
2018-10-01,Bhupalpalle,0.0
2018-10-02,Bhupalpalle,0.0
2018-10-03,Bhupalpalle,0.0
2018-10-04,Bhupalpalle,0.0
2018-10-05,Bhupalpalle,0.0
2018-10-06,Bhupalpalle,0.0
2018-10-07,Bhupalpalle,0.0
2018-10-08,Bhupalpalle,0.0
2018-10-09,Bhupalpalle,0.0
2018-10-10,Bhupalpalle,0.0
2018-10-11,Bhupalpalle,0.0
2018-10-12,Bhupalpalle,0.0
2018-10-13,Bhupalpalle,0.0
2018-10-14,Bhupalpalle,0.0
2018-10-15,Bhupalpalle,0.0
2018-10-16,Bhupalpalle,0.0
2018-10-17,Bhupalpalle,0.0
2018-10-18,Bhupalpalle,0.0
2018-10-19,Bhupalpalle,0.0
2018-10-20,Bhupalpalle,0.0
2018-10-21,Bhupalpalle,0.0
2018-10-22,Bhupalpalle,0.0
2018-10-23,Bhupalpalle,0.0
2018-10-24,Bhupalpalle,0.0
2018-10-25,Bhupalpalle,0.0
2018-10-26,Bhupalpalle,0.0
2018-10-27,Bhupalpalle,0.0
2018-10-28,Bhupalpalle,0.0
2018-10-29,Bhupalpalle,0.0
2018-10-30,Bhupalpalle,0.0
2018-10-31,Bhupalpalle,0.0
2018-11-01,Bhupalpalle,0.0
2018-11-02,Bhupalpalle,0.0
2018-11-03,Bhupalpalle,0.0
2018-11-04,Bhupalpalle,0.0
2018-11-05,Bhupalpalle,0.0
2018-11-06,Bhupalpalle,0.0
2018-11-07,Bhupalpalle,0.0
2018-11-08,Bhupalpalle,0.0
2018-11-09,Bhupalpalle,0.0
2018-11-10,Bhupalpalle,0.0
2018-11-11,Bhupalpalle,0.0
2018-11-12,Bhupalpalle,0.0
2018-11-13,Bhupalpalle,0.0
2018-11-14,Bhupalpalle,0.0
2018-11-15,Bhupalpalle,0.0
2018-11-16,Bhupalpalle,0.0
2018-11-17,Bhupalpalle,1.0
2018-11-18,Bhupalpalle,0.0
2018-11-19,Bhupalpalle,0.0
2018-11-20,Bhupalpalle,1.0
2018-11-21,Bhupalpalle,0.0
2018-11-22,Bhupalpalle,0.0
2018-11-23,Bhupalpalle,0.0
2018-11-24,Bhupalpalle,3.0
2018-11-25,Bhupalpalle,2.0
2018-11-26,Bhupalpalle,1.0
2018-11-27,Bhupalpalle,0.0
2018-11-28,Bhupalpalle,1.0
