Date,place,fireCount
2018-08-16,Jagtial,0.0
2018-08-17,Jagtial,0.0
2018-08-18,Jagtial,0.0
2018-08-19,Jagtial,0.0
2018-08-20,Jagtial,0.0
2018-08-21,Jagtial,0.0
2018-08-22,Jagtial,0.0
2018-08-23,Jagtial,0.0
2018-08-24,Jagtial,0.0
2018-08-25,Jagtial,0.0
2018-08-26,Jagtial,0.0
2018-08-27,Jagtial,0.0
2018-08-28,Jagtial,0.0
2018-08-29,Jagtial,0.0
2018-08-30,Jagtial,0.0
2018-08-31,Jagtial,0.0
2018-09-01,Jagtial,0.0
2018-09-02,Jagtial,0.0
2018-09-03,Jagtial,0.0
2018-09-04,Jagtial,0.0
2018-09-05,Jagtial,0.0
2018-09-06,Jagtial,1.0
2018-09-07,Jagtial,0.0
2018-09-08,Jagtial,0.0
2018-09-09,Jagtial,0.0
2018-09-10,Jagtial,0.0
2018-09-11,Jagtial,0.0
2018-09-12,Jagtial,0.0
2018-09-13,Jagtial,0.0
2018-09-14,Jagtial,0.0
2018-09-15,Jagtial,0.0
2018-09-16,Jagtial,0.0
2018-09-17,Jagtial,0.0
2018-09-18,Jagtial,0.0
2018-09-19,Jagtial,0.0
2018-09-20,Jagtial,0.0
2018-09-21,Jagtial,0.0
2018-09-22,Jagtial,0.0
2018-09-23,Jagtial,0.0
2018-09-24,Jagtial,0.0
2018-09-25,Jagtial,0.0
2018-09-26,Jagtial,0.0
2018-09-27,Jagtial,0.0
2018-09-28,Jagtial,0.0
2018-09-29,Jagtial,0.0
2018-09-30,Jagtial,0.0
2018-10-01,Jagtial,0.0
2018-10-02,Jagtial,0.0
2018-10-03,Jagtial,0.0
2018-10-04,Jagtial,0.0
2018-10-05,Jagtial,0.0
2018-10-06,Jagtial,0.0
2018-10-07,Jagtial,1.0
2018-10-08,Jagtial,0.0
2018-10-09,Jagtial,0.0
2018-10-10,Jagtial,0.0
2018-10-11,Jagtial,0.0
2018-10-12,Jagtial,0.0
2018-10-13,Jagtial,0.0
2018-10-14,Jagtial,0.0
2018-10-15,Jagtial,0.0
2018-10-16,Jagtial,0.0
2018-10-17,Jagtial,0.0
2018-10-18,Jagtial,0.0
2018-10-19,Jagtial,0.0
2018-10-20,Jagtial,0.0
2018-10-21,Jagtial,0.0
2018-10-22,Jagtial,0.0
2018-10-23,Jagtial,1.0
2018-10-24,Jagtial,0.0
2018-10-25,Jagtial,0.0
2018-10-26,Jagtial,0.0
2018-10-27,Jagtial,0.0
2018-10-28,Jagtial,0.0
2018-10-29,Jagtial,0.0
2018-10-30,Jagtial,0.0
2018-10-31,Jagtial,0.0
